age,skubal_optimistic,skubal_average,skubal_pessimistic,age,skenes_optimistic,skenes_average,skenes_pessimistic
23,759.0,759.0,759.0,23,267.0,267.0,267.0
24,934.5,921.0,907.5,24,469.5,456.0,442.5
25,1110.0,1083.0,1056.0,25,672.0,645.0,618.0
26,1285.5,1245.0,1204.5,26,874.5,834.0,793.5
27,1461.0,1407.0,1353.0,27,1077.0,1023.0,969.0
28,1636.5,1569.0,1501.5,28,1279.5,1212.0,1144.5
29,1812.0,1731.0,1650.0,29,1482.0,1401.0,1320.0
30,1987.5,1893.0,1798.5,30,1684.5,1590.0,1495.5
31,2163.0,2055.0,1947.0,31,1887.0,1779.0,1671.0
32,2338.5,2217.0,2095.5,32,2089.5,1968.0,1846.5
33,2514.0,2379.0,2244.0,33,2292.0,2157.0,2022.0
34,2689.5,2541.0,2392.5,34,2494.5,2346.0,2197.5
35,2865.0,2703.0,2541.0,35,2697.0,2535.0,2373.0
36,3040.5,2865.0,2689.5,36,2899.5,2724.0,2548.5
37,3216.0,3027.0,2838.0,37,3102.0,2913.0,2724.0
