{{< csv-table > }}
title,word_counts/portentous,word_counts/prodigiously,word_counts/prodigious,word_counts/portentously,total_word_count,word_counts
1875_roderick_hudson,6,4,2,2,65278,
1877_the_american,1,1,,4,65838,
1878_daisy_miller,,,,,10941,
1878_the_europeans,2,,1,,29572,
1879_a_bundle_of_letters,,,,,6652,
1879_confidence,,,,1,36189,
1880_washington_square,,,,,32005,
1881_portrait_of_a_lady_vol_1,,1,,,55850,
1881_portrait_of_a_lady_vol_2,2,,1,,52144,
1886_the_bostonians_vol_1,,,1,1,37200,
1886_the_bostonians_vol_2,1,,1,,38126,
1888_the_aspern_papers,,,,,16937,
1888_the_lesson_of_the_master,,,,,12817,
1891_the_pupil,,,1,,8866,
1892_the_real_thing_and_other_tales,,2,1,,33811,
1895_the_altar_of_the_dead,1,,,,6852,
1896_the_figure_in_the_carpet,,1,,,7427,
1897_what_maisie_knew,4,1,4,1,44334,
1898_in_the_cage,2,1,4,1,15643,
1898_turn_of_the_screw,3,,9,1,18430,
1902_some_short_stories,,,1,1,18131,
1902_wings_of_the_dove_vol_1,2,,4,1,35262,
1902_wings_of_the_dove_vol_2,2,1,9,,45163,
1903_the_ambassadors,4,2,8,2,77633,
1903_the_beast_in_the_jungle,1,1,1,,8198,
1904_the_golden_bowl,6,1,7,,89794,
1908_the_jolly_corner,1,,2,1,6737,
1909_italian_hours,4,1,19,1,65937,
1916_notes_on_novelists,4,4,11,1,65544
{{< /csv-table >}}
